Unnamed: 0,Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,When is your birthday (date)?,How many students do you estimate there are in the room?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?,Parsed How many students do you estimate there are in the room?,Parsed What is your stress level (0-100)?,Parsed How many hours per week do you do sports (in whole hours)?,Parsed Give a random number,Parsed Time you went to bed Yesterday,category_goodday_1,category_goodday_2
98,4-1-2025 12:18:36,"Business, Finance & Econometrics",yes,1,mu,ja,female,not willing to say,not possible,400,40,3,9,21:45,Sleeping in,No assignments,400,40.0,3.0,9,21:45,sleep/rest,sleep/rest
99,4-1-2025 12:18:36,AI & Data Science,yes,0,mu,ja,male,yes, ,350,25,20,40,23:00,feeling good ,productive,350,25.0,20.0,40,23:00,mood,study/work
100,4-1-2025 12:18:37,AI & Data Science,yes,0,mu,nee,male,yes,]2000-2005],250,0,7,69,23:00,Sun,Sports,250,0.0,7.0,69,23:00,weather,sport
101,4-1-2025 12:18:37,AI & Data Science,yes,0,mu,nee,male,not willing to say, ,250,110,5,42,0:30,Doggo,Food,250,5.0,5.0,42,00:30,friends/family,food
102,4-1-2025 12:18:37,AI & Data Science,yes,unknown,mu,nee,not willing to answer,yes,not possible,70000,900,10,7,23:00,Good talks,Productivity,467,15.0,10.0,7,23:00,friends/family,study/work
103,4-1-2025 12:18:38,AI & Data Science,yes,1,mu,nee,male,yes,]1995-2000],250,60,4,89867,23:30,Cats,Candy,250,60.0,4.0,89867,23:30,friends/family,food
104,4-1-2025 12:18:38,AI & Data Science,yes,0,mu,nee,female,not willing to say,]2000-2005],600,40,0,658,7pm,money,love,100,40.0,0.0,658,19:00,money,friends/family
105,4-1-2025 12:18:39,AI & Data Science,yes,0,mu,ja,male,yes,]2000-2005],600,22,5,236,11:33 PM,eating good food,having a nice nap,180,22.0,5.0,236,23:33,food,sleep/rest
106,4-1-2025 12:18:39,AI & Data Science,yes,1,unknown,ja,female,yes, ,150,20,4,11,12,Good sleep,No uni,150,20.0,4.0,11,12:00,sleep/rest,sleep/rest
107,4-1-2025 12:18:39,Computer Science & Technology,yes,0,unknown,ja,not willing to answer,yes,]1995-2000],300,13,6,1738,2,People,Food,300,13.0,6.0,1738,02:00,friends/family,food
108,4-1-2025 12:18:40,"Business, Finance & Econometrics",yes,1,mu,ja,male,yes,]2000-2005],425,5,3,4,23:00,Hanging out with friends,No responsibilities,425,5.0,3.0,4,23:00,friends/family,sleep/rest
109,4-1-2025 12:18:41,"Business, Finance & Econometrics",yes,0,unknown,ja,male,yes,]2000-2005],287,23,23,184365902143674301,22:40,Sports,Friends,287,23.0,23.0,184365902143674301,22:40,sport,friends/family
110,4-1-2025 12:18:41,AI & Data Science,yes,0,mu,ja,male,no,]1995-2000],300,100,0,7,23:00,Not going to uni,No deadlines,300,100.0,0.0,7,23:00,sleep/rest,sleep/rest
111,4-1-2025 12:18:41,AI & Data Science,no,0,sigma,ja,male,yes,]2000-2005],300,30,7,9,00:30,Sports,Good sleep,300,30.0,7.0,9,00:30,sport,sleep/rest
112,4-1-2025 12:18:43,Computer Science & Technology,no,0,sigma,nee,female,yes,]1995-2000],220,67,4,4,4am,I take the ADHD medicine ,go out with friends ,220,67.0,4.0,4,04:00,alchol/drugs,friends/family
113,4-1-2025 12:18:44,AI & Data Science,no,0,mu,ja,male,yes,]1990-1995],300,1,7,33,1:00,No assignments need to do,No lectures,300,1.0,7.0,33,01:00,sleep/rest,sleep/rest
114,4-1-2025 12:18:44,AI & Data Science,yes,unknown,unknown,unknown,male,yes,]1995-2000],500,69,10,69,Midnight,Sun,Friends,500,69.0,10.0,69,00:00,weather,friends/family
115,4-1-2025 12:18:44,Computer Science & Technology,yes,0,unknown,ja,male,no, ,483,π©,3,64,3AM,Sleep,Food,483,20.0,3.0,64,03:00,sleep/rest,food
116,4-1-2025 12:18:44,AI & Data Science,yes,1,mu,ja,male,yes,]1995-2000],approx 300,75,4,314.159.265.359,23:00,Passing EDDA,The sun,300,75.0,4.0,,23:00,study/work,weather
117,4-1-2025 12:18:44,AI & Data Science,yes,1,mu,nee,female,yes, ,450,60,1,44,23:30,Nice weather,Free time,450,60.0,1.0,44,23:30,weather,sleep/rest
118,4-1-2025 12:18:45,AI & Data Science,no,0,mu,ja,male,yes,]2000-2005],240,100,2,8,03:00,no studying,gaming,240,100.0,2.0,8,03:00,sleep/rest,sport
119,4-1-2025 12:18:45,Math,yes,1,mu,ja,male,yes,]1995-2000],357,7,5,69420,3am,You :),You again :),357,7.0,5.0,69420,03:00,joke,joke
120,4-1-2025 12:18:46,"Business, Finance & Econometrics",yes,0,mu,ja,male,yes,]1995-2000],500,40,2,1,01:23,Making someone smile,Smiling,500,40.0,2.0,1,01:23,friends/family,mood
121,4-1-2025 12:18:46,AI & Data Science,no,0,mu,nee,male,yes, ,297,69,6,426,2300,"Mild weather, no lectures, good food","No assignments, no exam stress",297,69.0,6.0,426,23:00,weather,sleep/rest
122,4-1-2025 12:18:46,AI & Data Science,no,unknown,unknown,unknown,male,not willing to say,]2000-2005],500,80,6,5,8,eating,play ,500,80.0,6.0,5,08:00,food,sport
123,4-1-2025 12:18:46,"Business, Finance & Econometrics",yes,0,mu,nee,male,yes,]1995-2000],300,20,8,891230124,01:30,Friends,Activity and food,300,20.0,8.0,891230124,01:30,friends/family,sport
124,4-1-2025 12:18:47,"Business, Finance & Econometrics",yes,unknown,mu,ja,female,yes,]2000-2005],480,0,8,10,23,Peace,Nature,480,0.0,8.0,10,23:00,mood,sport
125,4-1-2025 12:18:47,AI & Data Science,yes,0,mu,nee,male,yes,]1995-2000],350,20,8,124,23:30,Sports,Focus,350,20.0,8.0,124,23:30,sport,mood
126,4-1-2025 12:18:48,AI & Data Science,no,0,mu,nee,male,yes, ,300,55,6,47,00:31,Motorcycle ride,Social interaction,300,55.0,6.0,47,00:31,sport,friends/family
127,4-1-2025 12:18:48,Computer Science & Technology,yes,1,sigma,ja,intersex,not willing to say,]2000-2005],500,100,3,420,2am,Studying,Learning,500,100.0,3.0,420,02:00,study/work,study/work
128,4-1-2025 12:18:48,AI & Data Science,yes,1,mu,ja,male,yes,]2000-2005],366,57,6,9999999999,00:40,go out of the house ,play a sport and instrument ,366,57.0,6.0,9999999999,00:40,sport,sport
129,4-1-2025 12:18:49,AI & Data Science,no,1,mu,ja,male,yes,]2000-2005],300,15,8,67,00:30,Doing a sport,Playing my bass guitar,300,15.0,8.0,67,00:30,sport,sport
